Stanice ID|Doména ID|Přístroj|Začátek měření|Konec měření|Výška přístroje [m]
O1PRAD01|Fmax|Anemograf|1964-05-01|1964-09-30|10
O1PRAD01|Fmax|Anemograf|1965-10-01|1965-10-31|10
O1PRAD01|Fmax|Anemograf|1966-08-01|1966-09-30|10
O1PRAD01|Fmax|Anemograf|1967-07-01|1967-10-31|10
O1PRAD01|Fmax|Anemograf|1969-06-01|1969-07-14|10
O1PRAD01|Fmax|Anemograf|1970-08-01|1970-08-31|10
O1PRAD01|Fmax|Anemograf|1971-07-01|1971-08-31|10
O1PRAD01|Fmax|Anemograf|1973-05-01|1973-07-31|10
O1RYMA01|Fmax|Anemometr miskový|2012-11-14|2020-12-31|10
O1SVET01|Fmax|Anemometr miskový|1998-01-01|2020-12-31|10
O1BELO01|Fmax|Anemometr miskový|1998-01-01|2020-12-31|10
O1JAVO01|Fmax|Anemometr miskový|1998-01-01|2020-12-31|10
O1SERA01|Fmax|Anemometr miskový|2004-01-01|2006-09-30|6.35
O1SERA01|Fmax|Anemometr miskový|2006-10-01|2008-06-10|10.65
O1SERA01|Fmax|Ultrasonický snímač|2008-06-11|2020-12-31|10.65
O2LUKA01|Fmax|Anemograf|1974-10-01|1998-12-31|12
O2LUKA01|Fmax|Anemometr miskový|1999-01-01|2009-05-19|12
O2LUKA01|Fmax|Ultrasonický snímač|2009-05-20|2010-02-28|12
O2LUKA01|Fmax|Ultrasonický snímač|2010-03-01|2020-12-31|11.28
O2OLOM01|Fmax|Anemometr miskový|1998-01-01|2020-12-31|10
O3PRER01|Fmax|Anemograf|1964-08-01|1964-10-31|10
O3PRER01|Fmax|Anemograf|1964-12-01|1965-02-28|10
O3PRER01|Fmax|Anemograf|1967-09-01|1968-06-30|10
O3PRER01|Fmax|Anemograf|1969-01-01|1969-07-31|10
O3PRER01|Fmax|Anemograf|1970-01-01|1970-01-31|10
O3PRER01|Fmax|Anemograf|1970-05-01|1970-11-30|10
O3PRER01|Fmax|Anemograf|1971-02-01|1971-02-28|10
O3PRER01|Fmax|Anemograf|1972-01-01|1976-01-31|10
O3PRER01|Fmax|Anemograf|1976-03-01|1976-04-30|10
O3PRER01|Fmax|Anemograf|1976-06-01|1978-01-31|10
